category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,58/299,82/1700,0.7073170731707317,4.021535198629578,12.952647343553087,9.042812551447026e-28,1.6910059471205939e-25,1.6086687591521552e-25,9377/1347/54539/4706/4729/4697/1349/4709/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/1345/4723/55967/1327/54205/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/7384,58
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,58/299,101/1700,0.5742574257425742,3.265008775125004,10.839757333162748,8.995159349820679e-21,4.229985903749781e-19,4.024022616007391e-19,9377/1347/54539/4706/4729/4697/1349/4709/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/1345/4723/55967/1327/54205/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/7384,58
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,61/299,110/1700,0.5545454545454546,3.15293402249924,10.78305244017116,9.048098189839104e-21,4.229985903749781e-19,4.024022616007391e-19,9377/2878/1347/54539/4706/4729/4697/1349/4709/2876/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/2882/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/1345/4723/55967/1327/54205/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/7384,61
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,61/299,110/1700,0.5545454545454546,3.15293402249924,10.78305244017116,9.048098189839104e-21,4.229985903749781e-19,4.024022616007391e-19,9377/2878/1347/54539/4706/4729/4697/1349/4709/2876/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/2882/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/1345/4723/55967/1327/54205/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/7384,61
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,58/299,103/1700,0.5631067961165048,3.2016105464818003,10.646818908362249,3.466632252526854e-20,1.2965204624450432e-18,1.2333912645832388e-18,9377/1347/54539/4706/4729/4697/1349/4709/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/1345/4723/55967/1327/54205/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/7384,58
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,62/299,117/1700,0.5299145299145299,3.0128919761026784,10.420442417327914,1.0077809536853331e-19,3.1409173056526216e-18,2.9879821258389704e-18,9377/2878/1347/54539/4706/4729/4697/1349/4709/2876/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/2882/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/3028/1345/4723/55967/1327/54205/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/7384,62
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,60/299,112/1700,0.5357142857142857,3.0458671763019587,10.346046187017544,2.1423535383553279e-19,5.723144452463519e-18,5.444477413263916e-18,2597/9377/1347/54539/4706/4729/4697/1349/4709/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/3028/1345/4723/55967/1327/54205/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/7384,60
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,60/299,118/1700,0.5084745762711864,2.8909925741171136,9.834240013006939,6.684626485272722e-18,1.4628664675100048e-16,1.3916376752557885e-16,2597/9377/1347/54539/4706/4729/4697/1349/4709/374291/4728/2936/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/4698/1345/4723/55967/1327/51079/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/4724/6392/5162/7384,60
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,66/299,138/1700,0.4782608695652174,2.719208957394213,9.730628890529117,7.04053380085029e-18,1.4628664675100048e-16,1.3916376752557885e-16,9377/1347/533/54539/4706/4729/4697/1349/9550/4709/5464/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/1329/1340/7381/4710/9296/4698/1345/4723/8992/55967/1327/54205/51079/4714/4702/4722/10312/7385/4707/7386/6391/4704/4717/9167/6389/4700/10063/4724/6392/7384/537,66
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,61/299,130/1700,0.46923076923076923,2.6678672498070495,9.13895516830796,5.373396404793413e-16,1.0048251276963682e-14,9.558989393790388e-15,9377/1347/54539/1374/4706/4729/4697/1349/4709/374291/4728/1537/4716/4725/4694/4718/29796/10975/4713/1350/1337/4695/4715/27089/4726/4711/7388/1351/4696/4731/4712/4708/126328/113/1329/1340/7381/4710/4698/1345/4723/55967/1327/51079/51548/4714/4702/4722/7385/4707/7386/6391/4704/4717/9167/6389/4700/10063/4724/6392/7384,61
