category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,53/225,82/1700,0.6463414634146342,4.883468834688347,14.074385106746188,4.355887376149662e-29,6.4467133167015e-27,5.502173527767995e-27,1337/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/54205/4715/29796/4716/4718/4710/54539/4729/51079/9377/4726/4722/4712/4724/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,53
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,66/225,138/1700,0.4782608695652174,3.6135265700483092,12.505984509652901,1.1825455451040903e-25,8.750837033770268e-24,7.46870870592057e-24,245972/1352/1337/4697/8992/10975/1350/1347/1340/9550/4708/7381/7388/1349/1327/1351/4725/9296/4694/1345/533/1329/4714/27089/4696/4707/4709/126328/9114/4713/55967/54205/4715/29796/4716/4718/10063/4710/54539/4729/537/51079/529/9377/4726/4722/5464/4712/27068/4724/6390/4711/7386/4700/4723/4698/51382/7384/4728/4717/6391/1537/374291/7385/4695/4704,66
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,53/225,101/1700,0.5247524752475248,3.964796479647965,11.995636020895345,7.524532568679594e-23,3.712102733881933e-21,3.1682242394440402e-21,1337/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/54205/4715/29796/4716/4718/4710/54539/4729/51079/9377/4726/4722/4712/4724/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,53
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,53/225,103/1700,0.5145631067961165,3.8878101402373244,11.806651103441176,2.582848690437411e-22,9.556540154618421e-21,8.156364285591826e-21,1337/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/54205/4715/29796/4716/4718/4710/54539/4729/51079/9377/4726/4722/4712/4724/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,53
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,55/225,112/1700,0.49107142857142855,3.7103174603174605,11.587663193272222,6.89058353572567e-22,2.0396127265747983e-20,1.7407789984991167e-20,1337/2597/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/54205/4715/29796/4716/4718/4710/54539/4729/51079/9377/4726/4722/4712/4724/3028/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,55
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,54/225,110/1700,0.4909090909090909,3.709090909090909,11.471317432819296,1.8105797406905312e-21,4.46609669370331e-20,3.8117468225063817e-20,1337/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/54205/4715/29796/4716/4718/4710/54539/4729/51079/847/9377/4726/4722/4712/4724/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,54
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,55/225,117/1700,0.4700854700854701,3.5517568850902186,11.168213483621514,1.0250042157988485e-20,2.1671517705461367e-19,1.849631667606945e-19,1337/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/54205/4715/29796/4716/4718/4710/54539/4729/51079/847/9377/4726/4722/4712/4724/3028/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,55
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,53/225,110/1700,0.4818181818181818,3.6404040404040408,11.180471204097554,1.4236523946765875e-20,2.633756930151687e-19,2.247872202120928e-19,1337/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/54205/4715/29796/4716/4718/4710/54539/4729/51079/9377/4726/4722/4712/4724/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,53
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,60/225,140/1700,0.42857142857142855,3.238095238095238,10.793746651864115,4.387592260995601e-20,7.215151718081655e-19,6.158024225958739e-19,8644/4259/1337/9446/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/4257/1345/1329/4714/27089/10327/4696/4707/4709/126328/4713/55967/4715/29796/4716/4718/4710/54539/4729/51079/847/9377/4726/4258/4722/4712/4724/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/873/7385/4695/4704,60
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,53/225,118/1700,0.4491525423728814,3.3935969868173257,10.523997394149712,8.418014072002299e-19,1.2458660826563404e-17,1.0633280933055537e-17,1337/2597/4697/10975/1350/1347/1340/4708/7381/7388/1349/1327/1351/4725/4694/1345/1329/4714/27089/4696/4707/4709/126328/4713/55967/4715/29796/4716/4718/4710/54539/4729/51079/9377/4726/4722/4712/4724/6390/4711/7386/4700/4723/4698/7384/4728/4717/6391/1537/374291/7385/4695/4704,53
