category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,32/86,82/1700,0.3902439024390244,7.714123652864436,14.381399567577791,7.008341757334978e-23,6.728008087041579e-21,5.237813313376668e-21,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/54205/4718/4716/4714/29796,32
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,39/86,138/1700,0.2826086956521739,5.5864509605662285,12.970894667514143,3.1414355046652333e-22,1.5078890422393118e-20,1.173904846480166e-20,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/535/1349/54539/1351/9377/4707/4726/4696/126328/9550/4725/1345/4729/4709/4695/1353/9114/1329/533/4713/8992/54205/10063/4718/4716/4714/29796,39
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,32/86,101/1700,0.31683168316831684,6.262951876583007,12.585196586414428,1.3198669880843013e-19,3.9512284124293915e-18,3.076065978974636e-18,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/54205/4718/4716/4714/29796,32
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,33/86,110/1700,0.3,5.930232558139535,12.338413922510663,2.0579314648069748e-19,3.9512284124293915e-18,3.076065978974636e-18,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/2876/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/54205/4718/4716/4714/29796,33
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,33/86,110/1700,0.3,5.930232558139535,12.338413922510663,2.0579314648069748e-19,3.9512284124293915e-18,3.076065978974636e-18,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/2876/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/54205/4718/4716/4714/29796,33
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,32/86,103/1700,0.3106796116504854,6.141341160532851,12.423292974181686,2.610902148666538e-19,4.177443437866461e-18,3.252176360619723e-18,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/54205/4718/4716/4714/29796,32
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,33/86,112/1700,0.29464285714285715,5.8243355481727574,12.190328779501908,3.888565899022306e-19,5.332890375802019e-18,4.1517019373020115e-18,2597/1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/54205/4718/4716/4714/29796,33
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,33/86,117/1700,0.28205128205128205,5.575432319618367,11.835286048242523,1.7908998925362952e-18,2.149079871043554e-17,1.673077531185223e-17,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/2876/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/54205/4718/4716/4714/29796,33
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,32/86,118/1700,0.2711864406779661,5.360662199448168,11.331420576611679,2.6292930943996168e-17,2.8045793006929246e-16,2.183389587162255e-16,2597/1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1329/4713/4718/4716/4714/29796,32
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,33/86,130/1700,0.25384615384615383,5.0178890876565285,11.000538462621115,6.544473302957132e-17,6.282694370838846e-16,4.891132679052173e-16,1347/7381/1350/4697/27089/4710/7388/1327/1340/4694/10975/1337/1349/54539/1351/9377/4707/4726/4696/126328/4725/1345/4729/4709/4695/1353/1329/4713/10063/4718/4716/4714/29796,33
