category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,59/320,82/1700,0.7195121951219512,3.8224085365853653,12.611585251197118,3.836175352369358e-27,7.28873316950178e-25,6.94549642744768e-25,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/4708/1329/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/6392/6389/7384/6390/7385/4705/4722/4720/4702,59
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,64/320,112/1700,0.5714285714285714,3.0357142857142856,10.730815354511984,5.307647112752249e-21,5.042264757114636e-19,4.804817386280983e-19,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/2597/4708/1329/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/3028/5331/6392/6389/7384/5332/6390/7385/4705/4722/4720/4702/5289,64
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,63/320,110/1700,0.5727272727272728,3.0426136363636362,10.663901936363319,9.668591395914155e-21,6.123441217412298e-19,5.83507971963942e-19,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/4708/1329/2876/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/5331/6392/6389/7384/5332/6390/7385/4705/4722/4720/4702/5289,63
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,65/320,118/1700,0.5508474576271186,2.926377118644068,10.442661741152397,3.827538971148967e-20,1.818081011295759e-18,1.7324650079937428e-18,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/2597/4708/1329/1349/7381/1340/1327/54539/4715/4694/4713/1337/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/2997/5331/6392/6389/7384/5332/6390/7385/1376/4705/4722/4720/4702/2673/5160,65
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,59/320,101/1700,0.5841584158415841,3.1033415841584153,10.49248600354259,5.1965191079837075e-20,1.974677261033809e-18,1.881686919101469e-18,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/4708/1329/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/6392/6389/7384/6390/7385/4705/4722/4720/4702,59
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,64/320,117/1700,0.5470085470085471,2.9059829059829063,10.284983756635054,1.3082790738641445e-19,4.142883733903124e-18,3.94778948604619e-18,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/4708/1329/2876/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/3028/5331/6392/6389/7384/5332/6390/7385/4705/4722/4720/4702/5289,64
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,59/320,103/1700,0.5728155339805825,3.0430825242718447,10.298742478913505,2.0358092540264137e-19,5.525767975214552e-18,5.265551754775086e-18,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/4708/1329/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/6392/6389/7384/6390/7385/4705/4722/4720/4702,59
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,61/320,110/1700,0.5545454545454546,2.9460227272727275,10.15962840946992,4.327048754979332e-19,1.0276740793075913e-17,9.7927945507427e-18,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/4708/1329/2876/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/4729/4710/10975/4695/9167/4696/4718/4717/4707/4711/4706/4728/9377/4716/4709/4714/6391/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/6392/6389/7384/6390/7385/4705/4722/4720/4702/5289,61
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,70/320,138/1700,0.5072463768115942,2.6947463768115947,9.998523643782281,5.414376592690669e-19,1.143035058456919e-17,1.0892079227401114e-17,1350/1345/4697/4725/4726/29796/7388/27089/1347/1351/4708/1329/1349/7381/1340/1327/54539/4715/4694/4713/1337/54205/8992/4729/4710/10975/4695/533/9167/4696/4718/4717/4707/4711/10063/4706/4728/9377/4716/5464/4709/4714/9296/6391/9550/126328/1537/55967/4698/51079/4724/4712/4700/4723/374291/7386/1352/6392/90423/6389/7384/6390/7385/23545/4705/4722/4720/4702/529/27068,70
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,68/320,140/1700,0.4857142857142857,2.580357142857143,9.396997206440469,4.03152448171342e-17,7.659896515255497e-16,7.299181166891665e-16,1350/1345/4697/4725/4726/29796/7388/4257/27089/1347/1351/4708/1329/1349/7381/1340/1327/54539/4715/4694/4713/1337/4729/4710/10975/4695/9167/4696/4259/4718/4717/4707/4711/4706/4728/9377/52/4716/4709/873/4714/6391/1728/126328/1537/55967/9446/10327/4698/51079/4724/4712/8644/4700/4723/374291/7386/2052/6392/6389/7384/6390/4258/7385/4705/4722/4720/4702,68
