category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,37/152,82/1700,0.45121951219512196,5.046534017971759,11.766136124553505,2.386539898682043e-19,3.460482853088962e-17,2.9392122962715684e-17,29796/1340/1345/1349/1329/4725/1351/4695/1350/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/9377/374291/4718/4716/4709/4715/4728/7385/4714,37
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,46/152,138/1700,0.3333333333333333,3.7280701754385963,10.47339712857443,1.1771717394635912e-17,8.534495111111037e-16,7.248899658802114e-16,29796/8992/9296/1340/1345/1349/1329/4725/1351/4695/1350/5464/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/10063/533/4708/4700/4729/4710/4713/126328/4711/9377/374291/526/4718/9550/4716/4709/4715/4728/537/7385/4714/9114,46
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,37/152,101/1700,0.36633663366336633,4.097186034392912,10.05395072878974,1.1396919122247677e-15,4.432879813547228e-14,3.76513203764084e-14,29796/1340/1345/1349/1329/4725/1351/4695/1350/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/9377/374291/4718/4716/4709/4715/4728/7385/4714,37
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,39/152,112/1700,0.3482142857142857,3.8945018796992477,9.928659191110283,1.2228633968406147e-15,4.432879813547228e-14,3.76513203764084e-14,2597/29796/5743/1340/1345/1349/1329/4725/1351/4695/1350/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/9377/374291/4718/4716/4709/4715/4728/7385/4714,39
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,37/152,103/1700,0.3592233009708738,4.017629024016351,9.8984001774761,2.4155576719953213e-15,7.005117248786432e-14,5.949899949967422e-14,29796/1340/1345/1349/1329/4725/1351/4695/1350/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/9377/374291/4718/4716/4709/4715/4728/7385/4714,37
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,38/152,110/1700,0.34545454545454546,3.8636363636363633,9.728562073643912,4.218174842429407e-15,8.737647887889487e-14,7.421450474650235e-14,29796/2876/1340/1345/1349/1329/4725/1351/4695/1350/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/9377/374291/4718/4716/4709/4715/4728/7385/4714,38
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,38/152,110/1700,0.34545454545454546,3.8636363636363633,9.728562073643912,4.218174842429407e-15,8.737647887889487e-14,7.421450474650235e-14,29796/2876/1340/1345/1349/1329/4725/1351/4695/1350/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/9377/374291/4718/4716/4709/4715/4728/7385/4714,38
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,43/152,140/1700,0.30714285714285716,3.43515037593985,9.422377695504666,5.8636795707095425e-15,1.0627919221911045e-13,9.026980391750216e-14,29796/9446/10327/4257/1340/1345/1349/1329/4725/1351/5338/4695/1350/7388/1347/2052/10975/7381/4259/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/5728/9377/374291/4718/4716/4709/4715/4728/7385/4714,43
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,39/152,117/1700,0.3333333333333333,3.7280701754385963,9.579459736234009,6.784935125843129e-15,1.093128436941393e-13,9.284648066943229e-14,29796/5743/2876/1340/1345/1349/1329/4725/1351/4695/1350/54205/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/9377/374291/4718/4716/4709/4715/4728/7385/4714,39
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,38/152,118/1700,0.3220338983050847,3.601694915254237,9.177557992677066,5.976646075952011e-14,8.666136810130416e-13,7.360711483014582e-13,2597/29796/1340/1345/1349/1329/4725/1351/4695/1350/7388/1347/10975/7381/27089/1327/4697/4696/4694/1337/4726/4708/4700/4729/4710/4713/126328/4711/5728/9377/374291/4718/4716/4709/4715/4728/7385/4714,38
