"PathwayID","PathwayName","GeneCountFromInput","InputGeneSymbolsInPathway"
"hsa00592","alpha-Linolenic acid metabolism",1,"JMJD7-PLA2G4B"
"hsa00591","Linoleic acid metabolism",1,"JMJD7-PLA2G4B"
"hsa00565","Ether lipid metabolism",1,"JMJD7-PLA2G4B"
"hsa04913","Ovarian steroidogenesis",1,"JMJD7-PLA2G4B"
"hsa04370","VEGF signaling pathway",1,"JMJD7-PLA2G4B"
"hsa04730","Long-term depression",1,"JMJD7-PLA2G4B"
"hsa00590","Arachidonic acid metabolism",1,"JMJD7-PLA2G4B"
"hsa00830","Retinol metabolism",1,"DHRS9"
"hsa04664","Fc epsilon RI signaling pathway",1,"JMJD7-PLA2G4B"
"hsa04912","GnRH signaling pathway",1,"JMJD7-PLA2G4B"
"hsa04666","Fc gamma R-mediated phagocytosis",1,"JMJD7-PLA2G4B"
"hsa04750","Inflammatory mediator regulation of TRP channels",1,"JMJD7-PLA2G4B"
"hsa05231","Choline metabolism in cancer",1,"JMJD7-PLA2G4B"
"hsa00564","Glycerophospholipid metabolism",1,"JMJD7-PLA2G4B"
"hsa04726","Serotonergic synapse",1,"JMJD7-PLA2G4B"
"hsa04724","Glutamatergic synapse",1,"JMJD7-PLA2G4B"
"hsa04611","Platelet activation",1,"JMJD7-PLA2G4B"
"hsa04270","Vascular smooth muscle contraction",1,"JMJD7-PLA2G4B"
"hsa04072","Phospholipase D signaling pathway",1,"JMJD7-PLA2G4B"
"hsa04921","Oxytocin signaling pathway",1,"JMJD7-PLA2G4B"
"hsa04217","Necroptosis",1,"JMJD7-PLA2G4B"
"hsa04014","Ras signaling pathway",1,"JMJD7-PLA2G4B"
"hsa04010","MAPK signaling pathway",1,"JMJD7-PLA2G4B"
