category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,41/128,82/1700,0.5,6.640625,14.935518319644682,5.090038926295694e-27,5.853544765240049e-25,5.197197640533499e-25,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,41
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,41/128,101/1700,0.40594059405940597,5.391398514851486,12.981196054201966,1.451944630944117e-22,8.348681627928674e-21,7.412559431662073e-21,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,41
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,41/128,103/1700,0.39805825242718446,5.286711165048543,12.804593030190663,3.617397522389816e-22,1.3866690502494295e-20,1.2311844199010953e-20,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,41
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,42/128,110/1700,0.38181818181818183,5.0710227272727275,12.594377621056477,6.885304101351524e-22,1.5836199433108506e-20,1.4060515743812587e-20,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/2876/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,42
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,42/128,110/1700,0.38181818181818183,5.0710227272727275,12.594377621056477,6.885304101351524e-22,1.5836199433108506e-20,1.4060515743812587e-20,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/2876/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,42
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,42/128,112/1700,0.375,4.98046875,12.433499590574973,1.5904518882385296e-21,3.0483661191238485e-20,2.7065584764760944e-20,2597/1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,42
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,46/128,138/1700,0.3333333333333333,4.427083333333333,11.981166313246355,3.453231639886554e-21,5.67316626552791e-20,5.037044647654072e-20,1347/7381/4697/1340/4729/54539/533/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/9550/1337/4694/4696/1351/9377/4718/4715/4726/4716/5464/10975/4714/4709/9296/8992/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,46
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,42/128,117/1700,0.358974358974359,4.767628205128205,12.04747174139138,1.1773485682247711e-20,1.6924385668231086e-19,1.5026685673395107e-19,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/2876/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/54205/4708/7386/4700/1537/4712,42
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,42/128,118/1700,0.3559322033898305,4.727224576271186,11.972882723801693,1.7313506245558403e-20,2.2122813535991293e-19,1.9642223459873275e-19,2597/1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/1351/9377/4718/4715/4726/4716/10975/4714/4709/2673/374291/4695/9167/51079/4708/7386/4700/1537/4712,42
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,42/128,140/1700,0.3,3.984375,10.515514227790508,2.9880987984701475e-17,3.4363136182406697e-16,3.051006141595835e-16,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/52/4694/4696/1351/9377/10327/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/4708/7386/4700/1537/4712,42
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,40/128,130/1700,0.3076923076923077,4.086538461538462,10.446455208285801,7.908435147512998e-17,8.267909472399953e-16,7.340844108217807e-16,1347/7381/4697/1340/4729/54539/4728/4713/1350/27089/1349/7388/1327/4710/1329/29796/126328/1345/4725/1337/4694/4696/1351/9377/4718/4715/4726/4716/10975/4714/4709/374291/4695/9167/51079/4708/7386/4700/1537/4712,40
Organismal Systems,Circulatory system,hsa04260,Cardiac muscle contraction,18/128,31/1700,0.5806451612903226,7.711693548387097,10.758709983779605,1.6937260151085725e-13,1.623154097812382e-12,1.4411528374169435e-12,1347/7381/1340/1350/27089/1349/7388/1327/1329/29796/1345/1337/1351/9377/10975/9167/7386/1537,18
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,22/128,63/1700,0.3492063492063492,4.637896825396825,8.394053179012504,1.3133441332861152e-10,1.1618044255992558e-9,1.0315334488158152e-9,4697/4729/54539/4728/4713/4710/126328/4725/4694/4696/4718/4715/4726/4716/4714/4709/374291/4695/51079/4708/4700/4712,22
Metabolism,Glycan biosynthesis and metabolism,hsa00510,N-Glycan biosynthesis,12/128,54/1700,0.2222222222222222,2.951388888888889,4.157202652254719,4.4146636537558884e-4,0.0036263308584423364,0.003219717100859558,2683/6480/6185/1603/29880/58505/207063/6184/746/4245/8703/1650,12
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,6/128,16/1700,0.375,4.98046875,4.56350541134821,6.930083560950837e-4,0.005313064063395642,0.004717320037980571,6185/1603/58505/6184/746/1650,6
Metabolism,Glycan biosynthesis and metabolism,hsa00513,Various types of N-glycan biosynthesis,9/128,42/1700,0.21428571428571427,2.845982142857143,3.455694016756215,0.003093328296139588,0.022233297128503287,0.019740318731943422,2683/6185/1603/58505/6184/746/4245/8703/1650,9
