category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,38/122,82/1700,0.4634146341463415,6.457417033186726,14.08081896690031,2.8512928918466857e-24,4.333965195606963e-22,3.901769220421781e-22,5291/1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/4707/1329/1345/4719/4725/4697/54205/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,38
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,38/122,101/1700,0.37623762376237624,5.242655413082292,12.220734818570737,2.819677771423803e-20,2.1429551062820905e-18,1.929253212026813e-18,5291/1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/4707/1329/1345/4719/4725/4697/54205/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,38
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,39/122,112/1700,0.3482142857142857,4.852166276346604,11.724974113022835,2.0920316047789818e-19,1.059962679754684e-17,9.54260030250062e-18,5291/1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/2597/4707/1329/1345/4719/4725/4697/54205/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,39
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,37/122,103/1700,0.3592233009708738,5.005570587299061,11.658794543033363,6.609038160043572e-19,2.4301319751268e-17,2.1877919443662332e-17,1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/4707/1329/1345/4719/4725/4697/54205/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,37
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,38/122,110/1700,0.34545454545454546,4.81371087928465,11.49657962224041,9.59262621760579e-19,2.4301319751268e-17,2.1877919443662332e-17,1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/2876/4707/1329/1345/4719/4725/4697/54205/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,38
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,38/122,110/1700,0.34545454545454546,4.81371087928465,11.49657962224041,9.59262621760579e-19,2.4301319751268e-17,2.1877919443662332e-17,1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/2876/4707/1329/1345/4719/4725/4697/54205/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,38
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,42/122,138/1700,0.30434782608695654,4.240912330719886,11.040517156095284,2.037604205387866e-18,4.4245119888422233e-17,3.9832864165477083e-17,1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/4707/1329/9550/1345/4719/4725/10063/8992/4697/54205/533/9377/4708/374291/4713/4714/9167/9114/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,42
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,38/122,117/1700,0.3247863247863248,4.525711083088133,10.985562509462037,1.1347598070537613e-17,2.1560436334021466e-16,1.9410365120656445e-16,1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/2876/4707/1329/1345/4719/4725/4697/54205/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,38
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,38/122,118/1700,0.3220338983050847,4.487357599333148,10.915844800734199,1.587628870826042e-17,2.6813287596173154e-16,2.413938634004508e-16,5291/1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/2597/4707/1329/1345/4719/4725/4697/9377/4708/374291/4713/4714/9167/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,38
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,39/122,140/1700,0.2785714285714286,3.8817330210772836,9.894151750186046,1.5550867206991238e-15,2.363731815462668e-14,2.1280134072724853e-14,5291/1349/4696/7381/1350/1327/4694/7388/1337/1340/1347/1351/10975/27089/4707/1329/1345/4719/4725/4697/9377/4708/9446/374291/4713/4714/9167/4259/4709/4728/4726/126328/54539/4711/4710/4695/7384/29796/1537,39
