category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,42/141,82/1700,0.5121951219512195,6.175402179553711,14.442585927834383,2.5897464252948586e-26,3.806927245183442e-24,3.407561085914288e-24,5293/4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/7385/1337,42
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,42/141,101/1700,0.4158415841584158,5.013692858647567,12.504426522470636,9.334969201814433e-22,6.161012348958583e-20,5.514690609522542e-20,5293/4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/7385/1337,42
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,44/141,112/1700,0.39285714285714285,4.736575481256333,12.30100826131161,1.2573494589711394e-21,6.161012348958583e-20,5.514690609522542e-20,2597/5293/4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/3028/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/7385/1337,44
Human Diseases,Neurodegenerative disease,hsa05012,Parkinson disease,41/141,103/1700,0.39805825242718446,4.799283894512152,11.960548296546378,2.413928283915092e-20,8.871186443387963e-19,7.940553565510171e-19,4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/7385/1337,41
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,47/141,138/1700,0.34057971014492755,4.1062801932367154,11.445185713143074,4.575749022044365e-20,1.0541620529977836e-18,9.435750563889935e-19,4725/4695/4697/9550/10975/8992/4711/1351/1350/1327/29796/9296/7388/9167/4717/7381/4713/54539/6392/5464/1345/1347/10063/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/533/7385/1337,47
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,42/141,110/1700,0.38181818181818183,4.603481624758221,11.749064294145848,5.019819299989446e-20,1.0541620529977836e-18,9.435750563889935e-19,2876/4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/7385/1337,42
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,42/141,110/1700,0.38181818181818183,4.603481624758221,11.749064294145848,5.019819299989446e-20,1.0541620529977836e-18,9.435750563889935e-19,2876/4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/7385/1337,42
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,43/141,117/1700,0.36752136752136755,4.4311086864278355,11.562989650564496,9.353400103220575e-20,1.7186872689667807e-18,1.5383881748718052e-18,2876/4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/3028/1349/4709/6391/4694/27089/4716/4729/54205/55967/4698/4700/7385/1337,43
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,43/141,118/1700,0.3644067796610169,4.393556917898786,11.488837585047026,1.3829199645766228e-19,2.2587692754751504e-18,2.0218128137085132e-18,2597/5293/4725/4695/4697/10975/2539/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/55967/4698/4700/7385/1337,43
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,44/141,140/1700,0.3142857142857143,3.7892603850050652,10.3579537038463,3.7928719280478585e-17,5.575521734230352e-16,4.990620957957708e-16,9446/2053/5293/3162/4725/4695/4697/10975/4711/1351/1350/1327/29796/7388/9167/4717/7381/4713/54539/6392/1345/1347/9377/4710/1329/4714/374291/126328/1340/4726/4708/1537/1349/4709/6391/4694/27089/4716/4729/55967/4698/4700/7385/1337,44
